,Time,Length,Sentiment
750,63,56.0,-0.4318181818181818
752,63,85.0,0.7
754,63,112.0,0.4
756,63,65.0,0.13636363636363635
758,63,81.0,0.5
760,63,67.0,0.0
762,63,136.0,0.0
764,63,67.0,0.3
766,63,48.0,0.0
768,63,91.0,0.0
770,63,140.0,0.0
772,63,61.0,0.175
774,63,112.0,0.8
776,63,51.0,0.0
778,63,136.0,0.0
780,63,62.0,0.016666666666666677
782,63,136.0,0.0
784,63,136.0,0.0
786,63,136.0,0.0
788,63,47.0,-0.6
790,63,93.0,0.0
792,63,50.0,0.7
794,63,60.0,0.0
796,63,56.0,0.8
798,63,50.0,0.0
800,63,76.0,0.22424242424242424
802,63,3.0,0.0
804,63,46.0,0.13636363636363635
806,63,73.0,0.13636363636363635
808,63,44.0,0.0
810,63,81.0,-0.2916666666666667
812,63,140.0,0.25
814,63,73.0,0.7
816,63,140.0,0.0
818,63,136.0,0.0
820,63,28.0,0.13636363636363635
822,63,34.0,0.7
824,63,98.0,0.2
826,63,75.0,0.08974358974358974
828,63,57.0,0.13636363636363635
830,63,136.0,0.0
832,63,75.0,0.13636363636363635
834,63,136.0,0.0
836,63,136.0,0.0
838,63,90.0,0.375
840,63,134.0,0.08974358974358974
842,63,140.0,0.25
844,63,59.0,0.13636363636363635
846,63,69.0,0.0
848,63,7.0,0.0
850,63,136.0,0.0
852,63,140.0,0.25
854,63,45.0,0.0
856,63,112.0,0.4
858,63,113.0,0.13636363636363635
860,63,75.0,0.0
862,63,83.0,0.8
864,63,62.0,0.0
866,63,69.0,0.0
868,63,71.0,0.375
870,63,76.0,0.0
872,63,41.0,0.0
874,63,31.0,0.375
876,63,118.0,0.2
878,63,31.0,0.0
880,63,73.0,0.06818181818181818
882,63,51.0,0.0
884,63,57.0,-0.04375000000000001
886,63,36.0,0.24318181818181817
888,63,57.0,0.13636363636363635
890,63,41.0,0.7
892,63,140.0,-0.07692307692307693
894,63,136.0,0.0
896,63,140.0,0.0
898,63,136.0,0.0
900,63,136.0,0.0
902,63,140.0,0.25
904,63,46.0,-0.2916666666666667
906,63,57.0,0.0
908,63,78.0,0.0
910,63,104.0,-0.1
912,63,81.0,0.0
914,63,140.0,0.0
916,63,55.0,0.05
918,63,112.0,0.7166666666666667
920,63,140.0,0.0
922,63,48.0,0.4
924,63,69.0,0.20000000000000004
926,63,140.0,0.15000000000000002
928,63,58.0,0.0
930,63,54.0,0.0
932,63,136.0,0.0
934,63,136.0,0.0
936,63,44.0,-0.17692307692307696
938,63,58.0,0.025
940,63,136.0,0.0
942,63,136.0,0.0
944,63,57.0,0.2
946,63,114.0,0.0
948,63,63.0,0.2857142857142857
950,63,109.0,0.39
952,63,77.0,0.2391826923076923
954,63,22.0,0.0
956,63,91.0,0.0
958,63,34.0,0.0
960,63,7.0,0.0
962,63,99.0,0.0
964,63,140.0,0.5
966,63,75.0,0.13636363636363635
968,63,86.0,0.0
970,63,80.0,0.5
972,63,140.0,0.4833333333333334
974,63,72.0,0.8
976,63,60.0,0.0
978,63,135.0,0.2452991452991453
980,63,70.0,0.0
982,63,36.0,0.0
984,63,140.0,0.25
986,63,48.0,0.6
988,63,31.0,0.0
990,63,55.0,0.0
992,63,140.0,0.25
994,63,7.0,0.0
996,63,69.0,0.4
998,63,136.0,0.0
1000,63,46.0,0.4000000000000001
1002,63,62.0,-0.4
1004,63,39.0,0.6000000000000001
1006,63,65.0,1.0
1008,63,140.0,0.0
1010,63,140.0,0.13636363636363635
1012,63,136.0,0.0
1014,63,40.0,0.0
1016,63,140.0,0.3520833333333333
1018,63,93.0,0.08974358974358974
1020,63,139.0,0.0
1022,63,139.0,0.1638986013986014
1024,63,86.0,0.0
1026,63,61.0,0.1
1028,63,61.0,0.13636363636363635
1030,63,136.0,0.0
1032,63,136.0,0.0
1034,63,136.0,0.0
1036,63,27.0,-0.15555555555555559
1038,63,127.0,0.20833333333333331
1040,63,140.0,0.029166666666666646
1042,63,77.0,-0.23076923076923078
1044,63,68.0,0.0
1046,63,118.0,0.3181818181818182
1048,63,121.0,0.0
1050,63,50.0,0.0
1052,63,96.0,0.0
1054,63,19.0,0.0
1056,63,144.0,0.25
1058,63,89.0,0.0
1060,63,36.0,0.5
1062,63,47.0,0.0
1064,63,103.0,0.0
1066,63,140.0,0.25
1068,63,140.0,0.5
1070,63,64.0,0.9
1072,63,58.0,-0.04999999999999999
1074,63,52.0,0.0
1076,63,72.0,1.0
1078,63,71.0,-0.16666666666666666
1080,63,38.0,0.0
1082,63,136.0,0.0
1084,63,31.0,0.0
1086,63,63.0,0.13636363636363635
1088,63,42.0,0.7
1090,63,131.0,0.13636363636363635
1092,63,58.0,0.0
1094,63,137.0,0.8
1096,63,48.0,0.0
1098,63,140.0,0.25
1100,63,84.0,0.3
1102,63,66.0,0.0
1104,63,78.0,0.13636363636363635
1106,63,23.0,0.0
1108,63,42.0,0.0
1110,63,136.0,0.0
1112,63,71.0,0.0
1114,63,102.0,0.3333333333333333
1116,63,48.0,0.375
1118,63,119.0,0.2875
1120,63,136.0,0.0
1122,63,111.0,0.5
1124,63,56.0,0.0
1126,63,34.0,0.0
1128,63,136.0,0.0
1130,63,26.0,0.0
1132,63,69.0,0.0
1134,63,140.0,0.3520833333333333
1136,63,143.0,0.35714285714285715
1138,63,91.0,0.0
1140,63,40.0,1.0
1142,63,41.0,0.0
1144,63,91.0,-0.23076923076923078
1146,63,110.0,0.4375
1148,63,130.0,-0.23076923076923078
1150,63,44.0,0.0
1152,63,121.0,0.1346153846153846
1154,63,49.0,0.0
1156,63,103.0,0.0
1158,63,69.0,0.0
1160,63,35.0,0.3181818181818182
1162,63,140.0,0.0
1164,63,140.0,0.023076923076923068
1166,63,84.0,0.13636363636363635
1168,64,91.0,0.0
1170,64,96.0,0.0
1172,64,140.0,0.5
1174,64,140.0,0.0
1176,64,76.0,0.0
1178,64,140.0,0.5
1180,64,40.0,0.0
1182,64,110.0,0.3
1184,64,139.0,0.0
1186,64,31.0,0.0
1188,64,77.0,0.0
1190,64,86.0,0.13636363636363635
1192,64,46.0,0.5
1194,64,95.0,0.0
1196,64,100.0,0.0
1198,64,78.0,0.2
1200,64,35.0,0.18333333333333335
1202,64,130.0,0.7166666666666667
1204,64,136.0,0.0
1206,64,121.0,0.1346153846153846
1208,64,136.0,0.0
1210,64,136.0,0.0
1212,64,129.0,0.32575757575757575
1214,64,140.0,0.575
1216,64,70.0,1.0
1218,64,41.0,0.2
1220,64,136.0,0.0
1222,64,30.0,0.13636363636363635
1224,64,79.0,0.3
1226,64,139.0,0.3666666666666667
1228,64,25.0,0.0
1230,64,140.0,-0.15555555555555559
1232,64,30.0,0.0
1234,64,70.0,0.0
1236,64,67.0,0.1346153846153846
1238,64,140.0,0.0
1240,64,82.0,0.0
1242,64,140.0,0.1515151515151515
1244,64,118.0,0.8
1246,64,52.0,0.0
1248,64,136.0,0.0
1250,64,24.0,0.0
1252,64,140.0,0.25
1254,64,78.0,0.0
1256,64,140.0,0.2833333333333334
1258,64,60.0,0.0
1260,64,56.0,0.0
1262,64,91.0,0.1
1264,64,136.0,0.0
1266,64,78.0,0.13636363636363635
1268,64,73.0,-0.43333333333333324
1270,64,104.0,0.12307692307692307
1272,64,9.0,0.0
1274,64,59.0,0.0
1276,64,140.0,0.6
1278,64,107.0,0.13636363636363635
1280,64,65.0,1.0
1282,64,138.0,0.2556818181818182
1284,64,108.0,0.0
1286,64,125.0,0.0
1288,64,9.0,0.0
1290,64,61.0,0.13636363636363635
1292,64,50.0,0.0
1294,64,61.0,0.0
1296,64,136.0,0.0
1298,64,140.0,0.0
1300,64,64.0,-0.7999999999999999
1302,64,140.0,0.5
1304,64,136.0,0.0
1306,64,113.0,0.13636363636363635
1308,64,98.0,0.15
1310,64,45.0,0.0
1312,64,140.0,0.8
1314,64,136.0,0.0
1316,64,136.0,0.0
1318,64,130.0,0.10139860139860137
1320,64,74.0,0.0
1322,64,73.0,0.2866666666666667
1324,64,140.0,0.15000000000000002
1326,64,136.0,0.0
1328,64,34.0,0.0
1330,64,136.0,0.0
1332,64,85.0,0.1
1334,64,99.0,0.0
1336,64,139.0,0.3666666666666667
1338,64,63.0,0.35
1340,64,54.0,0.0
1342,64,139.0,0.3666666666666667
1344,64,140.0,0.023076923076923068
1346,64,140.0,0.1583916083916084
1348,64,102.0,-0.21249999999999997
1350,64,140.0,0.043181818181818175
1352,64,40.0,0.13636363636363635
1354,64,136.0,0.0
1356,64,81.0,0.25
1358,64,143.0,0.2452991452991453
1360,64,46.0,0.0
1362,64,51.0,-0.6
1364,64,57.0,0.25
1366,64,136.0,0.0
1368,64,140.0,0.6
1370,64,69.0,0.3
1372,64,53.0,0.0
1374,64,60.0,0.0
1376,64,121.0,0.1346153846153846
1378,64,55.0,0.0
1380,64,140.0,0.25
1382,64,34.0,0.0
1384,64,16.0,0.0
1386,64,140.0,0.5
1388,64,44.0,0.13636363636363635
1390,64,136.0,0.0
1392,64,15.0,0.6000000000000001
1394,64,52.0,0.13636363636363635
1396,64,63.0,0.0
1398,64,63.0,0.0
1400,64,140.0,0.475
1402,64,140.0,0.029166666666666646
1404,64,56.0,0.08333333333333333
1406,64,52.0,0.0
1408,64,110.0,0.14285714285714285
1410,64,140.0,0.5
1412,64,136.0,0.0
1414,64,103.0,0.9
1416,64,34.0,-0.2
1418,64,51.0,0.0
1420,64,140.0,0.13636363636363635
1422,64,85.0,0.0
1424,64,91.0,0.0
1426,64,102.0,0.5
1428,64,91.0,0.0
1430,64,41.0,0.0
1432,64,58.0,0.0
1434,64,136.0,0.0
1436,64,130.0,0.505
1438,64,109.0,0.13636363636363635
1440,64,20.0,0.0
1442,64,80.0,-0.565625
1444,64,45.0,0.0
1446,64,140.0,0.0
1448,64,29.0,0.0
1450,64,91.0,-0.23076923076923078
1452,64,136.0,0.0
1454,64,105.0,0.0
1456,64,58.0,0.0
1458,64,140.0,0.25
1460,64,36.0,0.0
1462,64,99.0,1.0
1464,64,111.0,0.26785714285714285
1466,64,140.0,0.0
1468,64,140.0,0.5
1470,64,139.0,0.7
1472,64,94.0,0.3333333333333333
1474,64,125.0,0.2857142857142857
1476,64,139.0,0.0
1478,64,7.0,0.0
1480,64,140.0,0.5
1482,64,50.0,-0.05681818181818182
1484,64,136.0,0.0
1486,64,143.0,0.2452991452991453
1488,64,77.0,0.16666666666666666
1490,64,136.0,0.0
1492,64,64.0,0.0
1494,64,79.0,0.3
1496,64,50.0,0.65
1498,64,72.0,0.65
1500,64,30.0,0.0
1502,64,130.0,0.0
1504,64,42.0,0.0
1506,64,90.0,0.0
1508,64,84.0,0.0
1510,64,43.0,0.0
1512,64,57.0,0.1346153846153846
1514,64,119.0,-0.6999999999999998
1516,64,48.0,0.0
1518,64,85.0,0.3
1520,64,37.0,0.0
1522,64,50.0,-0.5
1524,64,144.0,0.13636363636363635
1526,64,90.0,0.25
1528,64,28.0,0.0
1530,64,108.0,-0.009090909090909094
1532,64,50.0,0.7
1534,64,14.0,0.0
1536,64,133.0,0.1346153846153846
1538,64,76.0,0.0
1540,64,138.0,0.0
1542,64,81.0,0.13636363636363635
1544,64,110.0,-0.11025641025641025
1546,64,140.0,0.5
1548,64,107.0,0.13636363636363635
1550,64,140.0,0.13636363636363635
1552,64,112.0,0.08974358974358974
1554,64,56.0,-0.2
1556,64,133.0,0.5
1558,64,59.0,0.16666666666666666
1560,64,36.0,0.8
1562,64,139.0,0.6
1564,64,139.0,0.2020833333333333
1566,64,140.0,-0.23076923076923078
1568,64,140.0,0.5
1570,64,40.0,0.0
1572,64,63.0,0.0
1574,64,7.0,0.0
1576,64,140.0,0.5
1578,64,97.0,0.8
1580,64,57.0,0.13636363636363635
1582,64,70.0,0.25
1584,64,54.0,0.2375
1586,64,70.0,0.15641025641025638
1588,64,101.0,0.0
1590,64,91.0,-0.23076923076923078
1592,64,140.0,0.5
1594,64,140.0,0.23409090909090913
1596,64,102.0,0.0673076923076923
1598,64,140.0,0.475
1600,64,136.0,0.65
1602,64,138.0,0.3
1604,64,140.0,0.5
1606,64,60.0,0.35
1608,64,7.0,0.0
1610,64,135.0,0.0
1612,64,136.0,0.0
1614,64,140.0,0.5
1616,64,59.0,0.475
1618,64,54.0,0.0
1620,64,140.0,0.5
1622,64,59.0,0.0
1624,64,112.0,0.0
1626,64,104.0,0.0
1628,64,140.0,0.5
1630,64,144.0,0.08814102564102565
1632,64,140.0,0.5
1634,64,53.0,0.0
1636,64,139.0,0.3666666666666667
1638,64,68.0,0.0
1640,64,76.0,0.725
1642,64,136.0,0.0
1644,64,140.0,0.5
1646,64,41.0,0.19318181818181818
1648,64,43.0,0.13636363636363635
1650,64,74.0,0.0
1652,64,56.0,-0.23076923076923078
1654,64,95.0,0.13636363636363635
1656,64,139.0,-0.6999999999999998
1658,64,140.0,0.5
1660,64,73.0,0.0
1662,64,140.0,0.5
1664,64,140.0,0.5
1666,64,140.0,0.5
1668,64,40.0,0.0
1670,64,107.0,0.13636363636363635
1672,64,53.0,0.0
1674,64,135.0,0.06212121212121213
1676,64,47.0,0.0
1678,64,140.0,0.5
1680,64,140.0,0.5
1682,64,91.0,0.0
1684,64,35.0,0.0
1686,64,136.0,0.0
1688,64,140.0,0.0
1690,64,140.0,0.275
1692,64,121.0,0.1346153846153846
1694,64,136.0,0.0
1696,64,137.0,0.32307692307692304
1698,64,140.0,0.5
1700,64,107.0,0.24444444444444446
1702,64,140.0,0.5
1704,64,140.0,0.5
1706,64,49.0,0.26666666666666666
1708,64,79.0,0.0
1710,64,53.0,0.13636363636363635
1712,64,63.0,1.0
1714,64,140.0,0.5
1716,64,140.0,0.5
1718,64,136.0,0.0
1720,64,88.0,-0.2
1722,64,44.0,0.0
1724,64,140.0,-0.23076923076923078
1726,64,72.0,0.0
1728,64,91.0,-0.23076923076923078
1730,64,20.0,0.0
1732,64,22.0,0.0
1734,64,28.0,0.0
1736,65,136.0,0.0
1738,65,118.0,0.2
1740,65,46.0,0.0
1742,65,60.0,0.0
1744,65,115.0,0.14285714285714285
1746,65,30.0,0.0
1748,65,140.0,0.5
1750,65,115.0,0.0
1752,65,42.0,0.15000000000000002
1754,65,61.0,0.0
1756,65,58.0,0.1
1758,65,91.0,-0.024999999999999994
1760,65,140.0,-0.2435897435897436
1762,65,20.0,0.0
1764,65,140.0,0.3520833333333333
1766,65,81.0,0.0
1768,65,35.0,0.0
1770,65,36.0,0.0
1772,65,140.0,0.5
1774,65,140.0,0.0
1776,65,52.0,0.0
1778,65,50.0,0.0
1780,65,71.0,0.8
1782,65,85.0,0.8
1784,65,99.0,0.0
1786,65,140.0,0.25
1788,65,47.0,0.13636363636363635
1790,65,90.0,0.0
1792,65,140.0,0.2020833333333333
1794,65,25.0,0.0
1796,65,120.0,-0.21249999999999997
1798,65,140.0,-0.3333333333333333
1800,65,86.0,0.0
1802,65,40.0,0.6000000000000001
1804,65,38.0,0.0
1806,65,75.0,0.0
1808,65,140.0,-0.125
1810,65,140.0,0.2875
1812,65,30.0,0.0
1814,65,26.0,0.3
1816,65,55.0,0.3333333333333333
1818,65,59.0,0.0
1820,65,49.0,0.6
1822,65,125.0,0.0
1824,65,60.0,0.0
1826,65,140.0,0.25
1828,65,130.0,0.0
1830,65,140.0,0.75
1832,65,140.0,-0.23076923076923078
1834,65,60.0,0.13636363636363635
1836,65,136.0,0.0
1838,65,118.0,0.2
1840,65,140.0,0.5
1842,65,91.0,-0.06538461538461539
1844,65,36.0,0.0
1846,65,47.0,0.13636363636363635
1848,65,140.0,0.13636363636363635
1850,65,9.0,1.0
1852,65,33.0,0.1
1854,65,51.0,0.0
1856,65,140.0,0.5
1858,65,131.0,0.0
1860,65,128.0,0.0
1862,65,44.0,0.0
1864,65,138.0,0.2
1866,65,140.0,0.5
1868,65,75.0,0.13636363636363635
1870,65,23.0,0.0
1872,65,77.0,0.0
1874,65,62.0,0.13636363636363635
1876,65,31.0,0.0
1878,65,61.0,0.0
1880,65,99.0,0.1
1882,65,140.0,0.0
1884,65,52.0,-0.8
1886,65,121.0,0.1346153846153846
1888,65,96.0,0.0
1890,65,117.0,1.0
1892,65,101.0,0.0
1894,65,101.0,0.13636363636363635
1896,65,131.0,0.12222222222222223
1898,65,66.0,0.0
